issue,number,size,color,collected_at
202609252627,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252628,8,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252629,2,Nhỏ,Đỏ,2026-09-25T22:43:23+07:00
202609252630,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252631,9,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252632,7,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252633,9,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252634,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252635,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252636,5,Lớn,XanhTím,2026-09-25T22:43:23+07:00
202609252637,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252638,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252639,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252640,9,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252641,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252642,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252643,4,Nhỏ,Đỏ,2026-09-25T22:43:23+07:00
202609252644,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252645,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252646,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252647,7,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252648,9,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252649,2,Nhỏ,Đỏ,2026-09-25T22:43:23+07:00
202609252650,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252651,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252652,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252653,4,Nhỏ,Đỏ,2026-09-25T22:43:23+07:00
202609252654,8,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252655,4,Nhỏ,Đỏ,2026-09-25T22:43:23+07:00
202609252656,1,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252657,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252658,2,Nhỏ,Đỏ,2026-09-25T22:43:23+07:00
202609252659,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252660,9,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252661,8,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252662,7,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252663,3,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252664,1,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252665,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252666,1,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252667,2,Nhỏ,Đỏ,2026-09-25T22:43:23+07:00
202609252668,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252669,7,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252670,9,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252671,8,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252672,5,Lớn,XanhTím,2026-09-25T22:43:23+07:00
202609252673,5,Lớn,XanhTím,2026-09-25T22:43:23+07:00
202609252674,7,Lớn,Xanh,2026-09-25T22:43:23+07:00
202609252675,1,Nhỏ,Xanh,2026-09-25T22:43:23+07:00
202609252676,0,Nhỏ,ĐỏTím,2026-09-25T22:43:23+07:00
202609252677,8,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252678,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252679,6,Lớn,Đỏ,2026-09-25T22:43:23+07:00
202609252680,9,Lớn,Xanh,2026-09-25T22:43:23+07:00
